,0,1,2,3,4,5,6
102,2020-03-15 14:47:50,江西,九江,118,0,118,0
103,2020-03-15 14:47:50,江西,宜春,106,0,106,0
104,2020-03-15 14:47:50,江西,赣州,76,0,75,1
105,2020-03-15 14:47:50,江西,抚州,72,0,72,0
106,2020-03-15 14:47:50,江西,萍乡,33,0,33,0
107,2020-03-15 14:47:50,江西,吉安,22,0,22,0
108,2020-03-15 14:47:50,江西,鹰潭,18,0,18,0
109,2020-03-15 14:47:50,江西,景德镇,6,0,6,0
110,2020-03-15 14:47:50,江西,赣江新区,1,0,1,0
111,2020-03-15 14:47:50,山东,济宁,260,0,254,0
112,2020-03-15 14:47:50,山东,青岛,61,0,59,1
113,2020-03-15 14:47:50,山东,临沂,49,0,49,0
114,2020-03-15 14:47:50,山东,烟台,47,0,47,0
115,2020-03-15 14:47:50,山东,济南,47,0,46,0
116,2020-03-15 14:47:50,山东,潍坊,44,0,44,0
117,2020-03-15 14:47:50,山东,聊城,38,0,38,0
118,2020-03-15 14:47:50,山东,威海,38,0,37,1
119,2020-03-15 14:47:50,山东,德州,37,0,33,2
120,2020-03-15 14:47:50,山东,泰安,35,0,33,2
121,2020-03-15 14:47:50,山东,淄博,30,0,28,1
122,2020-03-15 14:47:50,山东,枣庄,24,0,24,0
123,2020-03-15 14:47:50,山东,菏泽,18,0,18,0
124,2020-03-15 14:47:50,山东,日照,16,0,16,0
125,2020-03-15 14:47:50,山东,滨州,15,0,15,0
126,2020-03-15 14:47:50,山东,境外输入,1,0,0,0
127,2020-03-15 14:47:50,江苏,南京,93,0,93,0
128,2020-03-15 14:47:50,江苏,苏州,87,0,87,0
129,2020-03-15 14:47:50,江苏,徐州,79,0,79,0
130,2020-03-15 14:47:50,江苏,淮安,66,0,66,0
131,2020-03-15 14:47:50,江苏,无锡,55,0,55,0
132,2020-03-15 14:47:50,江苏,常州,51,0,51,0
133,2020-03-15 14:47:50,江苏,连云港,48,0,48,0
134,2020-03-15 14:47:50,江苏,南通,40,0,40,0
135,2020-03-15 14:47:50,江苏,泰州,37,0,37,0
136,2020-03-15 14:47:50,江苏,盐城,27,0,27,0
137,2020-03-15 14:47:50,江苏,扬州,23,0,23,0
